Mean_R, SD_R, Mean_G, SD_G, Mean_B, SD_B, Mean_C, SD_C, Mean_M, SD_M, Mean_Y, SD_Y, Mean_K, SD_K
6.107972362476747463e+01,7.576964174711076971e+00,2.425570023917087426e+01,5.310506466837817463e+00,7.264384799362211709e+01,7.875325437868532674e+00,4.011671849797468070e+01,1.940797353751037946e+01,1.705610793064109885e+02,1.001637808809816477e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.823561520063778971e+02,7.875325437868533562e+00
6.796760131515756598e+01,6.881046215025289570e+00,2.693505485980272596e+01,5.976593756175510030e+00,7.935139827847352478e+01,6.127873451742366306e+00,3.666068363103329375e+01,1.309003447511165952e+01,1.692511559922263018e+02,1.163775870526618483e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.756486017215264610e+02,6.127873451742362754e+00
6.370607796562805447e+01,1.059341768263461780e+01,2.743174514461366442e+01,1.044141261122033093e+01,7.819407573005449308e+01,1.104987757581690921e+01,4.776961255082330382e+01,8.910123831702684072e+00,1.680129632814945637e+02,1.931775291650139081e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.768059242699455069e+02,1.104987757581690921e+01
5.284733727810650805e+01,8.799993128912296569e+00,2.229230769230769127e+01,6.926392368513607956e+00,7.047378440957035650e+01,1.014994703984144486e+01,6.251540249841163899e+01,2.677359780867158179e+01,1.754808098975887560e+02,1.217553143200566090e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.845262155904296435e+02,1.014994703984144664e+01
6.619615773508594714e+01,1.016870319588942628e+01,2.471225909244109431e+01,8.851477165482863896e+00,7.817467904525538813e+01,8.641773253222199358e+00,3.948732231510649626e+01,2.045937098438204060e+01,1.760852508083912369e+02,1.669415680423075088e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.768253209547446261e+02,8.641773253222199358e+00
6.993018567141785979e+01,7.741398459940143972e+00,2.974732745686421609e+01,6.262644177966984138e+00,8.110619842460614848e+01,6.320997574886653148e+00,3.541001107566662398e+01,1.378163571478867055e+01,1.622861923557916271e+02,1.233319197103110199e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.738938015753938373e+02,6.320997574886651371e+00
7.101514039273261858e+01,7.962511388728798600e+00,3.026534685263350966e+01,5.075100636520510022e+00,8.381076803083134052e+01,6.129168791331784050e+00,3.934952797599932239e+01,1.233384150716956817e+01,1.634536602427330649e+02,8.567785906493449843e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.711892319691686453e+02,6.129168791331783162e+00
6.084525406449535723e+01,8.970732499023119644e+00,2.353860599881955196e+01,6.120814529021226136e+00,7.491484681010892643e+01,6.982815898118719389e+00,4.859895077453338530e+01,1.543468285412618890e+01,1.758517579663124479e+02,1.248242078168275526e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.800851531898910878e+02,6.982815898118720277e+00
6.787713799886640231e+01,1.095745821310651991e+01,2.783786216783916245e+01,5.101041292645017933e+00,8.259797286033408170e+01,7.382040861534335363e+00,4.638286061208243183e+01,2.187548475211886156e+01,1.694695424864794973e+02,1.097685543603642344e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.724020271396659325e+02,7.382040861534336251e+00
8.801409219729076483e+01,8.002099842115327988e+00,4.291794285119991770e+01,8.856580427277457090e+00,9.980151322118508972e+01,7.426368672744236399e+00,2.973315083411837989e+01,1.733062166061784737e+01,1.462623785376459864e+02,1.415224411551542971e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.551984867788148961e+02,7.426368672744235511e+00
